timestamp,device_id,device_type,vendor_name[0],vendor_name[1],vendor_name[2],vendor_name[3],vendor_name[4],vendor_name[5],vendor_name[6],vendor_name[7],vendor_name[8],vendor_name[9],vendor_name[10],vendor_name[11],vendor_name[12],vendor_name[13],vendor_name[14],vendor_name[15],vendor_name[16],vendor_name[17],vendor_name[18],vendor_name[19],vendor_name[20],vendor_name[21],vendor_name[22],vendor_name[23],vendor_name[24],vendor_name[25],vendor_name[26],vendor_name[27],vendor_name[28],vendor_name[29],vendor_name[30],vendor_name[31],model_name[0],model_name[1],model_name[2],model_name[3],model_name[4],model_name[5],model_name[6],model_name[7],model_name[8],model_name[9],model_name[10],model_name[11],model_name[12],model_name[13],model_name[14],model_name[15],model_name[16],model_name[17],model_name[18],model_name[19],model_name[20],model_name[21],model_name[22],model_name[23],model_name[24],model_name[25],model_name[26],model_name[27],model_name[28],model_name[29],model_name[30],model_name[31],firmware_version[0],firmware_version[1],firmware_version[2],firmware_version[3],firmware_version[4],firmware_version[5],firmware_version[6],firmware_version[7],firmware_version[8],firmware_version[9],firmware_version[10],firmware_version[11],firmware_version[12],firmware_version[13],firmware_version[14],firmware_version[15],firmware_version[16],firmware_version[17],firmware_version[18],firmware_version[19],firmware_version[20],firmware_version[21],firmware_version[22],firmware_version[23],hardware_version[0],hardware_version[1],hardware_version[2],hardware_version[3],hardware_version[4],hardware_version[5],hardware_version[6],hardware_version[7],hardware_version[8],hardware_version[9],hardware_version[10],hardware_version[11],hardware_version[12],hardware_version[13],hardware_version[14],hardware_version[15],hardware_version[16],hardware_version[17],hardware_version[18],hardware_version[19],hardware_version[20],hardware_version[21],hardware_version[22],hardware_version[23],serial_number[0],serial_number[1],serial_number[2],serial_number[3],serial_number[4],serial_number[5],serial_number[6],serial_number[7],serial_number[8],serial_number[9],serial_number[10],serial_number[11],serial_number[12],serial_number[13],serial_number[14],serial_number[15],serial_number[16],serial_number[17],serial_number[18],serial_number[19],serial_number[20],serial_number[21],serial_number[22],serial_number[23],serial_number[24],serial_number[25],serial_number[26],serial_number[27],serial_number[28],serial_number[29],serial_number[30],serial_number[31],serial_number[32]
203263926,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
204263510,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
205263522,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
206263560,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
207264537,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
208263523,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
209264122,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
210264524,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
211263524,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
212265524,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
213264524,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
214263522,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
215265522,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
216264524,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
217263521,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
218263521,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
219264244,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
220263521,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
221263634,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
222264144,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
223263546,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
224263957,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
225264265,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
226263615,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
227265522,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
228264522,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
229263548,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
230265522,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
231264524,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
232263524,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
233265928,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
234264524,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
235263523,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
236265522,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
237264522,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
238263991,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
239265524,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
240264524,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
241263522,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
242264719,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
243264535,8944899,5,97,114,100,117,112,105,108,111,116,0,69,10,109,97,118,108,105,110,107,32,98,111,111,116,95,99,111,109,112,108,101,0,67,45,82,84,75,50,45,72,80,0,114,99,46,97,117,116,111,115,116,97,114,116,46,112,111,115,116,10,102,105,10,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,79,65,68,69,82,95,85,80,71,0,52,46,54,49,0,123,82,125,101,116,99,47,105,110,105,116,46,100,47,114,99,46,98,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
244263521,8748291,4,97,114,100,117,112,105,108,111,116,0,-100,4,0,36,-16,0,0,0,0,0,0,0,-53,61,2,8,0,0,0,0,-120,0,67,45,82,84,75,50,45,72,80,0,-128,0,0,0,-16,0,0,0,-26,0,0,0,1,0,0,0,0,0,0,0,0,0,49,46,55,46,49,49,48,56,49,54,51,52,51,0,-23,-1,-1,-1,0,0,0,0,0,0,52,46,54,49,0,0,0,0,0,0,0,0,0,0,48,0,1,48,-128,0,0,0,80,0,48,54,48,48,50,100,48,48,48,53,53,49,51,51,51,50,51,54,51,52,51,56,51,52,48,48,48,48,48,48,48,48,0
